,DialogueTalkerNameID,DialogueText
id_chapter_title,,
id_000,,夕陽西下，街道上開始湧現下班的人潮，然而，horizon-studio的一天才正要開始。
id_001,id_artist,今天，我一定要求加薪！
id_002,,為了要趕上月底的遊戲展，全體員工已經連續加班超過了一個月，因此團隊中的成員也開始出現了不平的聲音。
id_003,,首先發難的是團隊中的美術，今天的她下定決心要找出老闆，為自己平時的辛勞爭取金錢上的補償。
id_004,id_artist,那麼，接下來該往哪走呢？
id_005,,
id_006,,
id_007,,
id_008,,
id_009,,
id_010,,
id_011,,
id_012,,
id_013,,
id_014,,
id_015,,
id_016,,
id_017,,
id_018,,
id_019,,
id_020,,
id_021,,
id_022,,
id_023,,
